wire,cabinet,terminal,device,neutral_address,siemens_address,rockwell_address
W1-1,CP-01,X1:1,RCV-101.READY,intake.READY,%I0.0,Local:1:I.Data[0]
W1-2,CP-01,X1:2,RCV-101.PE,intake.PE,%I0.1,Local:1:I.Data[1]
W1-3,CP-01,X1:3,RCV-101.OL,intake.OL,%I0.2,Local:1:I.Data[2]
W1-4,CP-01,X1:4,RCV-101.RUN,intake.RUN,%Q0.0,Local:1:O.Data[3]
W1-5,CP-01,X1:5,RCV-101.SPEED,intake.SPEED,%QW64,Local:1:O.Data[4]
W1-6,CP-01,X1:6,RCV-101.TEMP,intake.TEMP,%IW64,Local:1:I.Data[5]
W2-1,CP-02,X2:1,WSH-201.READY,wash.READY,%I1.0,Local:2:I.Data[0]
W2-2,CP-02,X2:2,WSH-201.PE,wash.PE,%I1.1,Local:2:I.Data[1]
W2-3,CP-02,X2:3,WSH-201.OL,wash.OL,%I1.2,Local:2:I.Data[2]
W2-4,CP-02,X2:4,WSH-201.RUN,wash.RUN,%Q1.0,Local:2:O.Data[3]
W2-5,CP-02,X2:5,WSH-201.SPEED,wash.SPEED,%QW66,Local:2:O.Data[4]
W2-6,CP-02,X2:6,WSH-201.TEMP,wash.TEMP,%IW66,Local:2:I.Data[5]
W3-1,CP-03,X3:1,PEL-301.READY,peel.READY,%I2.0,Local:3:I.Data[0]
W3-2,CP-03,X3:2,PEL-301.PE,peel.PE,%I2.1,Local:3:I.Data[1]
W3-3,CP-03,X3:3,PEL-301.OL,peel.OL,%I2.2,Local:3:I.Data[2]
W3-4,CP-03,X3:4,PEL-301.RUN,peel.RUN,%Q2.0,Local:3:O.Data[3]
W3-5,CP-03,X3:5,PEL-301.SPEED,peel.SPEED,%QW68,Local:3:O.Data[4]
W3-6,CP-03,X3:6,PEL-301.TEMP,peel.TEMP,%IW68,Local:3:I.Data[5]
W4-1,CP-04,X4:1,OPT-401.READY,sort.READY,%I3.0,Local:4:I.Data[0]
W4-2,CP-04,X4:2,OPT-401.PE,sort.PE,%I3.1,Local:4:I.Data[1]
W4-3,CP-04,X4:3,OPT-401.OL,sort.OL,%I3.2,Local:4:I.Data[2]
W4-4,CP-04,X4:4,OPT-401.RUN,sort.RUN,%Q3.0,Local:4:O.Data[3]
W4-5,CP-04,X4:5,OPT-401.SPEED,sort.SPEED,%QW70,Local:4:O.Data[4]
W4-6,CP-04,X4:6,OPT-401.TEMP,sort.TEMP,%IW70,Local:4:I.Data[5]
W5-1,CP-05,X5:1,CUT-501.READY,cut.READY,%I4.0,Local:5:I.Data[0]
W5-2,CP-05,X5:2,CUT-501.PE,cut.PE,%I4.1,Local:5:I.Data[1]
W5-3,CP-05,X5:3,CUT-501.OL,cut.OL,%I4.2,Local:5:I.Data[2]
W5-4,CP-05,X5:4,CUT-501.RUN,cut.RUN,%Q4.0,Local:5:O.Data[3]
W5-5,CP-05,X5:5,CUT-501.SPEED,cut.SPEED,%QW72,Local:5:O.Data[4]
W5-6,CP-05,X5:6,CUT-501.TEMP,cut.TEMP,%IW72,Local:5:I.Data[5]
