cabinet,asset,component,quantity,rating_basis
"CP-01","intake","QF1","1","Concept only - protection not sized"
"CP-01","intake","PS1","1","24 V DC"
"CP-01","intake","CPU_IO","1","6 reference signals"
"CP-01","intake","VFD","1","Illustrative motor drive"
"CP-01","intake","TERMINAL","6","Point-to-point reference"
"CP-02","wash","QF1","1","Concept only - protection not sized"
"CP-02","wash","PS1","1","24 V DC"
"CP-02","wash","CPU_IO","1","6 reference signals"
"CP-02","wash","VFD","1","Illustrative motor drive"
"CP-02","wash","TERMINAL","6","Point-to-point reference"
"CP-03","peel","QF1","1","Concept only - protection not sized"
"CP-03","peel","PS1","1","24 V DC"
"CP-03","peel","CPU_IO","1","6 reference signals"
"CP-03","peel","VFD","1","Illustrative motor drive"
"CP-03","peel","TERMINAL","6","Point-to-point reference"
"CP-04","sort","QF1","1","Concept only - protection not sized"
"CP-04","sort","PS1","1","24 V DC"
"CP-04","sort","CPU_IO","1","6 reference signals"
"CP-04","sort","VFD","1","Illustrative motor drive"
"CP-04","sort","TERMINAL","6","Point-to-point reference"
"CP-05","cut","QF1","1","Concept only - protection not sized"
"CP-05","cut","PS1","1","24 V DC"
"CP-05","cut","CPU_IO","1","6 reference signals"
"CP-05","cut","VFD","1","Illustrative motor drive"
"CP-05","cut","TERMINAL","6","Point-to-point reference"
"CP-06","blanch","QF1","1","Concept only - protection not sized"
"CP-06","blanch","PS1","1","24 V DC"
"CP-06","blanch","CPU_IO","1","6 reference signals"
"CP-06","blanch","VFD","1","Illustrative motor drive"
"CP-06","blanch","TERMINAL","6","Point-to-point reference"
"CP-07","dry","QF1","1","Concept only - protection not sized"
"CP-07","dry","PS1","1","24 V DC"
"CP-07","dry","CPU_IO","1","6 reference signals"
"CP-07","dry","VFD","1","Illustrative motor drive"
"CP-07","dry","TERMINAL","6","Point-to-point reference"
"CP-08","coat","QF1","1","Concept only - protection not sized"
"CP-08","coat","PS1","1","24 V DC"
"CP-08","coat","CPU_IO","1","6 reference signals"
"CP-08","coat","VFD","1","Illustrative motor drive"
"CP-08","coat","TERMINAL","6","Point-to-point reference"
"CP-09","form","QF1","1","Concept only - protection not sized"
"CP-09","form","PS1","1","24 V DC"
"CP-09","form","CPU_IO","1","6 reference signals"
"CP-09","form","VFD","1","Illustrative motor drive"
"CP-09","form","TERMINAL","6","Point-to-point reference"
"CP-10","fry","QF1","1","Concept only - protection not sized"
"CP-10","fry","PS1","1","24 V DC"
"CP-10","fry","CPU_IO","1","6 reference signals"
"CP-10","fry","VFD","1","Illustrative motor drive"
"CP-10","fry","TERMINAL","6","Point-to-point reference"
"CP-11","cool","QF1","1","Concept only - protection not sized"
"CP-11","cool","PS1","1","24 V DC"
"CP-11","cool","CPU_IO","1","6 reference signals"
"CP-11","cool","VFD","1","Illustrative motor drive"
"CP-11","cool","TERMINAL","6","Point-to-point reference"
"CP-12","freeze","QF1","1","Concept only - protection not sized"
"CP-12","freeze","PS1","1","24 V DC"
"CP-12","freeze","CPU_IO","1","6 reference signals"
"CP-12","freeze","VFD","1","Illustrative motor drive"
"CP-12","freeze","TERMINAL","6","Point-to-point reference"
"CP-13","inspect","QF1","1","Concept only - protection not sized"
"CP-13","inspect","PS1","1","24 V DC"
"CP-13","inspect","CPU_IO","1","6 reference signals"
"CP-13","inspect","VFD","1","Illustrative motor drive"
"CP-13","inspect","TERMINAL","6","Point-to-point reference"
"CP-14","pack","QF1","1","Concept only - protection not sized"
"CP-14","pack","PS1","1","24 V DC"
"CP-14","pack","CPU_IO","1","6 reference signals"
"CP-14","pack","VFD","1","Illustrative motor drive"
"CP-14","pack","TERMINAL","6","Point-to-point reference"
"CP-15","pallet","QF1","1","Concept only - protection not sized"
"CP-15","pallet","PS1","1","24 V DC"
"CP-15","pallet","CPU_IO","1","6 reference signals"
"CP-15","pallet","VFD","1","Illustrative motor drive"
"CP-15","pallet","TERMINAL","6","Point-to-point reference"
